year,player,pos,age,team,g,gs,mp,pts,trb,ast,fgpct,threeppct,ftpct
1982,Kenny Carr,PF,26,DET,28,6,444.0,207.0,137.0,23.0,45.8,,64.6
1982,Kevin McHale*,PF,24,BOS,82,33,2332.0,1117.0,556.0,91.0,53.1,,75.4
1982,Kelly Tripucka,SF,22,DET,82,82,3077.0,1772.0,443.0,270.0,49.6,22.7,79.7
1982,Dave Greenwood,PF,24,CHI,82,82,2914.0,1200.0,786.0,262.0,47.3,,82.5
1982,Robert Smith,PG,26,MIL,17,1,316.0,116.0,14.0,44.0,47.3,20.0,83.3
1982,Kevin Kunnert,C,30,POR,21,0,237.0,49.0,66.0,18.0,41.7,,52.9
1982,Clay Johnson,SG,25,LAL,7,0,65.0,25.0,12.0,7.0,55.0,,50.0
1982,Mickey Dillard,PG,23,CLE,33,0,221.0,73.0,15.0,34.0,36.7,,65.2
1982,Rudy Macklin,SF,23,ATL,79,32,1516.0,554.0,263.0,47.0,43.4,,77.5
1982,Dave Robisch,C,32,DEN,12,0,257.0,144.0,63.0,32.0,45.3,,87.3
1982,Ron Brewer,SG,26,CLE,47,41,1724.0,913.0,111.0,121.0,46.5,23.8,77.9
1982,Kenny Carr,PF,26,CLE,46,42,1482.0,688.0,394.0,63.0,51.7,11.1,65.9
1982,Danny Vranes,SF,23,SEA,77,1,1075.0,375.0,198.0,56.0,54.6,,60.1
1982,Joe Hassett,SG,26,GSW,68,2,787.0,390.0,53.0,104.0,37.7,33.2,83.8
1983,Adrian Dantley*,SF,26,UTA,22,22,887.0,676.0,140.0,105.0,58.0,,84.7
1983,Tiny Archibald*,PG,34,BOS,66,19,1811.0,695.0,91.0,409.0,42.5,20.8,74.3
1983,James Ray,PF,25,DEN,45,3,433.0,173.0,126.0,39.0,45.8,,64.7
1983,Mike Davis,PF,26,NYK,8,0,28.0,14.0,10.0,0.0,40.0,,60.0
1983,Billy Paultz,C,34,SAS,7,0,125.0,25.0,33.0,4.0,44.4,,50.0
1983,Calvin Natt,SF,26,POR,80,80,2879.0,1630.0,599.0,171.0,54.3,15.0,79.2
1983,Rob Williams,PG,21,DEN,74,33,1443.0,515.0,136.0,361.0,40.8,13.3,75.3
1983,James Wilkes,SF,24,DET,9,0,129.0,34.0,19.0,10.0,32.4,,80.0
1983,Glen Gondrezick,PF,27,DEN,76,2,1130.0,350.0,301.0,100.0,45.6,,71.9
1983,J.J. Anderson,SF,22,TOT,65,2,1202.0,480.0,294.0,67.0,50.1,,57.1
1983,Andrew Toney,SG,25,PHI,81,81,2474.0,1598.0,225.0,365.0,50.1,28.9,78.8
1983,Bob Wilkerson,SF,28,CLE,77,11,1702.0,519.0,242.0,189.0,41.7,,75.0
1983,World B.,SG,29,GSW,19,18,700.0,434.0,44.0,89.0,45.1,,71.1
1983,Junior Bridgeman,SF,29,MIL,70,5,1855.0,1007.0,246.0,207.0,49.2,7.7,83.7
1983,Darrell Griffith,SG,24,UTA,77,76,2787.0,1709.0,304.0,270.0,48.4,28.8,67.9
1983,Russ Schoene,PF,22,TOT,77,7,1222.0,476.0,255.0,59.0,47.6,25.0,73.5
1984,Jay Vincent,SF,24,DAL,61,5,1421.0,672.0,247.0,114.0,43.5,,78.1
1984,Leo Rautins,SF,23,PHI,28,3,196.0,48.0,33.0,29.0,36.2,,60.0
1984,Jerry Sichting,PG,27,IND,80,80,2497.0,917.0,171.0,457.0,53.2,30.0,86.7
1984,Clay Johnson,SG,27,SEA,25,0,176.0,55.0,12.0,14.0,40.0,100.0,63.6
